#
#
#   SSP models of high-order Balmer lines (from Worthey & Ottaviani 1997) 
#                 plus Hbeta (Worthey et al.~1994)
#
#    Maraston et al. 2003, A&A, 400, 823
#    
#    Contact: Claudia Maraston (claudia.maraston@port.ac.uk)
#	      Daniel Thomas (daniel.thomas@port.ac.uk)
#
#	      www.dsg.port.ac.uk/~thomasd/tmb
#
#
# Mass-loss on RGB is taken into account, as calibrated in Maraston & Thomas (2000) (cols. 3-7).
# This corresponds to blue Horizontal Branches (HBs).
#
# For the sets [Fe/H]=-2.25, -1.35 and -0.55 also the option of no mass loss, corresponding to red HBs, 
# has been considered col. 8-12). In fact especially at metallicities around -1.5, 
# both morphologies are present (e.g. 2nd parameter effect).
# At metallicities larger than -0.33 the HB is red in these sets of models.
#
# NOTE: for the effect of alpha/Fe enhancement at high metallicities see file "alpha-models.dat"
#       (Thomas, Maraston, Korn, MNRAS Letters, in press)
#
#[Fe/H] t(Gyr)  Hbeta Hdelta_A Hgamma_A Hdelta_F Hgamma_F  Hbeta Hdelta_A Hgamma_A Hdelta_F Hgamma_F  
#  1      2        3      4       5        6        7        8       9        10       11       12 
#
 -2.25 15.000   2.7072  4.8801   2.5805   3.8159   2.8312  2.5499  4.4144   2.0663   3.4485   2.5255 
 -1.35  0.100   5.1041  7.9503   7.6045   6.5531   6.6077  5.1041  7.9503   7.6045   6.5531   6.6077  
 -1.35  0.200   5.1789  8.8308   8.6428   6.8350   6.9615  5.1789  8.8308   8.6428   6.8350   6.9615  
 -1.35  0.300   5.7867  8.4261   8.0746   6.4730   6.5725  5.7867  8.4261   8.0746   6.4730   6.5725  
 -1.35  0.400   5.2435  7.4014   6.7539   5.7720   5.7783  5.2435  7.4014   6.7539   5.7720   5.7783  
 -1.35  0.500   4.7623  7.0638   6.2261   5.1931   5.2510  4.7623  7.0638   6.2261   5.1931   5.2510  
 -1.35  0.600   4.6145  7.1302   6.1921   5.3083   5.1946  4.6145  7.1302   6.1921   5.3083   5.1946  
 -1.35  0.700   4.4729  7.1836   6.1622   5.3398   5.1426  4.4729  7.1836   6.1622   5.3398   5.1426  
 -1.35  0.800   4.4487  7.2690   6.2410   5.3743   5.1619  4.4487  7.2690   6.2410   5.3743   5.1619  
 -1.35  0.900   4.4242  7.3118   6.2701   5.3778   5.1581  4.4242  7.3118   6.2701   5.3778   5.1581  
 -1.35  1.000   4.4180  7.3721   6.3196   5.3925   5.1725  4.4180  7.3721   6.3196   5.3925   5.1725  
 -1.35  2.000   4.3338  7.3527   6.2031   5.2877   5.0722  4.3338  7.3527   6.2031   5.2877   5.0722  
 -1.35  3.000   3.9706  6.5519   5.1248   4.7435   4.4690  3.9706  6.5519   5.1248   4.7435   4.4690  
 -1.35  4.000   3.5561  5.5338   3.7925   4.1044   3.7366  3.5561  5.5338   3.7925   4.1044   3.7366  
 -1.35  5.000   3.1415  4.5553   2.4870   3.5041   3.0135  3.1415  4.5553   2.4870   3.5041   3.0135  
 -1.35  6.000   2.8562  3.8299   1.5618   3.0723   2.4932  2.8362  3.7684   1.5041   3.0404   2.4552  
 -1.35  7.000   2.6241  3.2672   0.8209   2.7177   2.0630  2.5999  3.1992   0.7468   2.6843   2.0157  
 -1.35  8.000   2.5007  2.9440   0.4058   2.5212   1.8217  2.4760  2.8684   0.3258   2.4850   1.7705  
 -1.35  9.000   2.3465  2.5841  -0.0768   2.2820   1.5261  2.3142  2.4826  -0.1829   2.2347   1.4586  
 -1.35 10.000   2.2257  2.3390  -0.3644   2.1055   1.3299  2.1858  2.1991  -0.5117   2.0434   1.2366  
 -1.35 11.000   2.1830  2.2345  -0.5088   2.0091   1.2290  2.1149  2.0047  -0.7590   1.9142   1.0749  
 -1.35 12.000   2.1310  2.3453  -0.3255   1.9611   1.2309  2.0039  1.9094  -0.8690   1.7540   0.9055  
 -1.35 13.000   2.2465  2.7165   0.0700   2.2609   1.5026  1.9366  1.7784  -1.1244   1.6702   0.7690  
 -1.35 14.000   2.5105  3.6510   1.1386   2.8790   2.1065  1.8707  1.6204  -1.3798   1.5785   0.6307  
 -1.35 15.000   2.6086  4.0812   1.5950   3.1617   2.3439  1.8688  1.6445  -1.4270   1.5630   0.6190  
 -0.55  9.000   1.8914  0.0500  -3.3761   0.9595  -0.1773  1.8854  0.0119  -3.4089   0.9542  -0.1948 
 -0.55 10.000   1.7945 -0.2458  -3.7270   0.8181  -0.3746  1.7890 -0.2955  -3.8443   0.8014  -0.4239 
 -0.55 11.000   1.7282 -0.4919  -4.0608   0.6927  -0.5585  1.7061 -0.5682  -4.2137   0.6678  -0.6250 
 -0.55 12.000   1.6750 -0.6858  -4.2285   0.6137  -0.6639  1.6479 -0.7729  -4.4778   0.5706  -0.7694 
 -0.55 13.000   1.6454 -0.7907  -4.3809   0.5523  -0.7442  1.5910 -0.9553  -4.7111   0.4846  -0.8958 
 -0.55 14.000   1.6487 -0.7078  -4.3256   0.5660  -0.6999  1.5332 -1.1474  -4.9601   0.3989  -1.0255 
 -0.55 15.000   1.6698 -0.5687  -4.1519   0.6215  -0.6011  1.4942 -1.2935  -5.1420   0.3314  -1.1250 
